epoch,wall,pi_count,cpu,rss_kb,rss_mb,elapsed
1778865416,12:16:56,33,48.0,10946192,10689.6,00:19
1778865446,12:17:26,33,19.5,24097744,23533.0,00:49
1778865476,12:17:56,33,97.3,31543952,30804.6,01:19
1778865506,12:18:26,33,100.0,36086000,35240.2,01:49
1778865536,12:18:56,33,99.7,37291616,36417.6,02:19
1778865566,12:19:26,33,99.3,40351136,39405.4,02:49
1778865596,12:19:56,33,94.5,42964336,41957.4,03:19
1778865626,12:20:26,33,93.7,43738960,42713.8,03:49
1778865656,12:20:56,33,94.8,49023616,47874.6,04:19
1778865686,12:21:26,33,100.0,51045312,49848.9,04:49
1778865716,12:21:56,33,100.0,50136304,48961.2,05:19
1778865746,12:22:26,33,100.0,50214576,49037.7,05:49
1778865776,12:22:56,33,0.0,48277008,47145.5,06:19
1778865806,12:23:26,33,99.4,48027840,46902.2,06:49
1778865836,12:23:56,33,99.6,48040352,46914.4,07:19
1778865866,12:24:26,33,99.0,48025760,46900.2,07:49
